lat,lon,ele,time,bbox
34.044218,-118.271644,75.35908990819007,2024-04-18 22:18:13,"[-118.99529484764427, 33.320567152355736, -117.54799315235574, 34.767868847644266]"
34.044315,-118.271556,75.43688162136823,2024-04-18 22:18:14,"[-118.99520684764428, 33.32066415235573, -117.54790515235575, 34.76796584764426]"
34.044384,-118.271486,75.00211928226054,2024-04-18 22:18:15,"[-118.99513684764426, 33.320733152355736, -117.54783515235573, 34.768034847644266]"
34.044452,-118.271406,74.95746884588152,2024-04-18 22:18:17,"[-118.99505684764428, 33.32080115235574, -117.54775515235573, 34.768102847644265]"
34.044526,-118.271334,74.73369191214442,2024-04-18 22:18:18,"[-118.99498484764428, 33.32087515235573, -117.54768315235573, 34.76817684764426]"
34.044606,-118.271257,74.33079341612756,2024-04-18 22:18:19,"[-118.99490784764427, 33.32095515235574, -117.54760615235574, 34.76825684764427]"
34.044756,-118.271107,75.1271601067856,2024-04-18 22:18:21,"[-118.99475784764427, 33.32110515235574, -117.54745615235572, 34.768406847644265]"
34.044856,-118.270998,75.11168405227363,2024-04-18 22:18:22,"[-118.99464884764427, 33.32120515235574, -117.54734715235573, 34.76850684764427]"
34.044929,-118.270924,75.20044226106256,2024-04-18 22:18:23,"[-118.99457484764426, 33.321278152355745, -117.54727315235571, 34.76857984764427]"
34.045081,-118.270798,76.73549465928227,2024-04-18 22:18:26,"[-118.99444884764426, 33.32143015235574, -117.54714715235572, 34.76873184764427]"
34.045146,-118.270716,77.08076140470803,2024-04-18 22:18:27,"[-118.99436684764427, 33.321495152355745, -117.54706515235573, 34.76879684764427]"
34.045209,-118.270634,77.36280517373234,2024-04-18 22:18:28,"[-118.99428484764428, 33.321558152355735, -117.54698315235574, 34.768859847644265]"
34.045281,-118.270542,77.79198113828897,2024-04-18 22:18:29,"[-118.99419284764427, 33.32163015235574, -117.54689115235573, 34.76893184764427]"
34.045347,-118.270451,78.21458339039236,2024-04-18 22:18:30,"[-118.99410184764427, 33.321696152355734, -117.54680015235573, 34.768997847644265]"
34.045413,-118.270359,78.519107632339,2024-04-18 22:18:31,"[-118.99400984764426, 33.32176215235574, -117.54670815235572, 34.76906384764427]"
34.045482,-118.270263,78.48549958877265,2024-04-18 22:18:32,"[-118.99391384764427, 33.321831152355735, -117.54661215235572, 34.769132847644265]"
34.045552,-118.270166,78.75651917140931,2024-04-18 22:18:33,"[-118.99381684764428, 33.321901152355736, -117.54651515235575, 34.769202847644266]"
34.045625,-118.270066,79.02806011401117,2024-04-18 22:18:34,"[-118.99371684764428, 33.321974152355736, -117.54641515235573, 34.769275847644266]"
34.045688,-118.269976,79.27984001487494,2024-04-18 22:18:35,"[-118.99362684764428, 33.32203715235573, -117.54632515235573, 34.76933884764426]"
34.045756,-118.269879,79.79147808719426,2024-04-18 22:18:36,"[-118.99352984764427, 33.32210515235574, -117.54622815235574, 34.76940684764426]"
34.045830,-118.269773,79.98884873557836,2024-04-18 22:18:37,"[-118.99342384764428, 33.32217915235574, -117.54612215235575, 34.76948084764427]"
34.045895,-118.269678,80.25953981745988,2024-04-18 22:18:38,"[-118.99332884764426, 33.322244152355736, -117.54602715235572, 34.76954584764427]"
34.045955,-118.269589,80.66973666939884,2024-04-18 22:18:39,"[-118.99323984764428, 33.322304152355734, -117.54593815235573, 34.769605847644264]"
34.046026,-118.269487,80.59307619463652,2024-04-18 22:18:40,"[-118.99313784764428, 33.32237515235573, -117.54583615235573, 34.76967684764426]"
34.046085,-118.269403,80.31488176528364,2024-04-18 22:18:41,"[-118.99305384764428, 33.32243415235573, -117.54575215235573, 34.76973584764426]"
34.046191,-118.269257,80.59225986525416,2024-04-18 22:18:42,"[-118.99290784764428, 33.322540152355735, -117.54560615235575, 34.769841847644265]"
34.046265,-118.269159,80.32831035461277,2024-04-18 22:18:43,"[-118.99280984764428, 33.32261415235573, -117.54550815235574, 34.76991584764426]"
34.046340,-118.269061,80.59598021674901,2024-04-18 22:18:44,"[-118.99271184764427, 33.322689152355736, -117.54541015235573, 34.769990847644266]"
34.046415,-118.268964,80.92656327690929,2024-04-18 22:18:45,"[-118.99261484764426, 33.32276415235574, -117.54531315235573, 34.77006584764427]"
34.046493,-118.268866,80.87402093131095,2024-04-18 22:18:46,"[-118.99251684764428, 33.32284215235574, -117.54521515235575, 34.77014384764426]"
34.046572,-118.268765,81.03554223291576,2024-04-18 22:18:47,"[-118.99241584764427, 33.32292115235573, -117.54511415235572, 34.77022284764426]"
